;SoC;Charge;Discharge;Energy prices;Cash flow
426;13.5;0.0;11.5;0.29436;3.3851400000000003
427;1.39473684210526;0.0;1.325;0.27841000000000005;0.36889325000000006
428;0.0;0.0;0.0;0.25929;0.0
429;0.0;0.0;0.0;0.24;0.0
430;0.0;0.0;0.0;0.22584;0.0
431;0.0;0.0;11.5;0.21353999999999998;2.45571
432;0.0;0.0;0.0;0.21177;0.0
433;0.0;0.0;0.0;0.19985;0.0
434;0.0;0.0;0.0;0.20369;0.0
435;0.0;2.71052631578947;0.0;0.19391;-0.5255981578947361
436;2.575;11.5;0.0;0.18869999999999998;-2.17005
437;13.5;0.0;0.0;0.19536;0.0
438;13.5;0.0;0.0;0.22281;0.0
439;13.5;0.0;1.325;0.2838;0.376035
440;12.1052631578947;0.0;11.5;0.28536;3.28164
441;0.0;0.0;0.0;0.27011;0.0
442;0.0;0.0;0.0;0.27263;0.0
443;0.0;0.0;0.0;0.27802;0.0
444;0.0;0.0;0.0;0.256;0.0
445;0.0;0.0;0.0;0.24;0.0
446;0.0;2.71052631578947;0.0;0.22938999999999998;-0.6217676315789464
447;2.575;0.0;0.0;0.23531;0.0
448;2.575;11.5;0.0;0.22906;-2.6341900000000003
449;13.5;0.0;0.0;0.236;0.0
450;13.5;0.0;11.5;0.2827;3.25105
451;1.39473684210526;0.0;1.325;0.27388999999999997;0.36290424999999993
452;0.0;0.0;0.0;0.25421;0.0
453;0.0;0.0;0.0;0.22225999999999999;0.0
454;0.0;0.0;0.0;0.2088;0.0
455;0.0;0.0;11.5;0.19109;2.1975350000000002
456;0.0;0.0;0.0;0.19418000000000002;0.0
457;0.0;0.0;0.0;0.18518;0.0
458;0.0;0.0;0.0;0.17953;0.0
459;0.0;2.71052631578947;0.0;0.17143;-0.46466552631578883
460;2.575;11.5;0.0;0.16818;-1.93407
461;13.5;0.0;0.0;0.1815;0.0
462;13.5;0.0;0.0;0.21234;0.0
463;13.5;0.0;0.0;0.25723;0.0
464;13.5;0.0;1.325;0.2729;0.3615925
465;12.1052631578947;0.0;11.5;0.28162;3.2386299999999997
466;0.0;0.0;0.0;0.26914;0.0
467;0.0;0.0;0.0;0.26877999999999996;0.0
468;0.0;0.0;0.0;0.262;0.0
469;0.0;0.0;0.0;0.24202;0.0
470;0.0;0.0;0.0;0.229;0.0
471;0.0;11.5;0.0;0.21991;-2.528965
472;10.925;2.71052631578947;0.0;0.227;-0.6152894736842097
473;13.5;0.0;0.0;0.24850999999999998;0.0
474;13.5;0.0;1.325;0.265;0.351125
475;12.1052631578947;0.0;11.5;0.26544999999999996;3.052675
476;0.0;0.0;0.0;0.24609999999999999;0.0
477;0.0;0.0;0.0;0.22056;0.0
478;0.0;0.0;0.0;0.20612;0.0
479;0.0;0.0;11.5;0.19875;2.285625
480;0.0;0.0;0.0;0.1976;0.0
481;0.0;0.0;0.0;0.187;0.0
482;0.0;0.0;0.0;0.19299000000000002;0.0
483;0.0;2.71052631578947;0.0;0.18669;-0.5060281578947361
484;2.575;11.5;0.0;0.18230000000000002;-2.0964500000000004
485;13.5;0.0;0.0;0.19216999999999998;0.0
486;13.5;0.0;0.0;0.21168;0.0
487;13.5;0.0;0.0;0.25384;0.0
488;13.5;0.0;11.5;0.26375;3.0331249999999996
489;1.39473684210526;0.0;1.325;0.26198;0.3471235
490;0.0;0.0;0.0;0.24224;0.0
491;0.0;0.0;0.0;0.22187;0.0
492;0.0;0.0;0.0;0.21347;0.0
493;0.0;0.0;0.0;0.1953;0.0
494;0.0;0.0;0.0;0.19247999999999998;0.0
495;0.0;2.71052631578947;0.0;0.19;-0.5149999999999992
496;2.575;11.5;0.0;0.18944999999999998;-2.1786749999999997
497;13.5;0.0;0.0;0.22863;0.0
498;13.5;0.0;11.5;0.266;3.059
499;1.39473684210526;0.0;1.325;0.26029;0.34488425
500;0.0;0.0;0.0;0.2331;0.0
501;0.0;0.0;0.0;0.22197;0.0
